Distance,Metabolite,Output_Flux
0,12ppd__R_e,0.23065715
1,12ppd__R_e,0
2,12ppd__R_e,0
3,12ppd__R_e,0
4,12ppd__R_e,0
5,12ppd__R_e,0
0,ac_e,0
1,ac_e,0
2,ac_e,0
3,ac_e,0.11470241
4,ac_e,12.69151126
5,ac_e,8.21487061
0,etoh_e,0
1,etoh_e,0
2,etoh_e,0
3,etoh_e,2.41763502
4,etoh_e,12.51880335
5,etoh_e,8.05884021
0,for_e,0
1,for_e,0
2,for_e,0
3,for_e,3.36740794
4,for_e,26.34269435
5,for_e,17.29674253
0,lac__D_e,0
1,lac__D_e,19.14592502
2,lac__D_e,17.32729102
3,lac__D_e,14.01801224
4,lac__D_e,0
5,lac__D_e,0
0,pyr_e,9.80633785
1,pyr_e,0
2,pyr_e,0
3,pyr_e,0
4,pyr_e,0
5,pyr_e,0
0,succ_e,9.0542729
1,succ_e,0.05669902
2,succ_e,0.059568
3,succ_e,0.06526184
4,succ_e,0.08849694
5,succ_e,0.07995125
